****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=100.
Parallel execution requested.  Will use 4 threads.
Random seed: 1693395626
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 200 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 68x1471
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.01	Loglikelihood: -90289.4	(delta): 55748.2
2 (EM) 	Elapsed: 0.009	Loglikelihood: -86559.2	(delta): 3730.2
3 (EM) 	Elapsed: 0.009	Loglikelihood: -85483.3	(delta): 1075.88
4 (EM) 	Elapsed: 0.009	Loglikelihood: -84784.2	(delta): 699.089
5 (EM) 	Elapsed: 0.009	Loglikelihood: -84252.6	(delta): 531.57
Initial loglikelihood: -84252.6
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.027	Loglikelihood: -80971	(delta): 3281.65
2 (QN/Block) 	Elapsed: 0.027	Loglikelihood: -80167.7	(delta): 803.33
3 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -79649.2	(delta): 518.436
4 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -79338.7	(delta): 310.513
5 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -79104.9	(delta): 233.801
6 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78964.8	(delta): 140.08
7 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78866.5	(delta): 98.2957
8 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78814.9	(delta): 51.6307
9 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78779.8	(delta): 35.0612
10 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78748.3	(delta): 31.535
11 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78717.8	(delta): 30.5392
12 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -78696.2	(delta): 21.5322
13 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78688.3	(delta): 7.92637
14 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78683.1	(delta): 5.19967
15 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78678.9	(delta): 4.20015
16 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -78672.8	(delta): 6.11767
17 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78670.5	(delta): 2.28215
18 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78667.5	(delta): 2.99569
19 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78664.6	(delta): 2.87253
20 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78661	(delta): 3.63794
21 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78659.8	(delta): 1.18867
22 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78658.4	(delta): 1.39846
23 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -78655.6	(delta): 2.76848
24 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78653	(delta): 2.62068
25 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78649.4	(delta): 3.6073
26 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78645.9	(delta): 3.50639
27 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -78643.8	(delta): 2.1348
